bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1741372,2746931,text,505174,application/pdf,Introduced,https://legiscan.com/US/text/HB1/id/2746931,https://www.congress.gov/118/bills/hr1/BILLS-118hr1ih.pdf
1741372,2769605,text,419110,application/pdf,Engrossed,https://legiscan.com/US/text/HB1/id/2769605,https://www.congress.gov/118/bills/hr1/BILLS-118hr1eh.pdf
1760974,2797945,text,555808,application/pdf,Introduced,https://legiscan.com/US/text/HB2/id/2797945,https://www.congress.gov/118/bills/hr2/BILLS-118hr2ih.pdf
1760974,2812523,text,515347,application/pdf,Introduced,https://legiscan.com/US/text/HB2/id/2812523,https://www.congress.gov/118/bills/hr2/BILLS-118hr2pcs.pdf
1760974,2809465,text,415247,application/pdf,Engrossed,https://legiscan.com/US/text/HB2/id/2809465,https://www.congress.gov/118/bills/hr2/BILLS-118hr2eh.pdf
1724917,2723963,text,264937,application/pdf,Introduced,https://legiscan.com/US/text/HB5/id/2723963,https://www.congress.gov/118/bills/hr5/BILLS-118hr5ih.pdf
1724917,2746970,text,279863,application/pdf,Introduced,https://legiscan.com/US/text/HB5/id/2746970,https://www.congress.gov/118/bills/hr5/BILLS-118hr5rh.pdf
1724917,2761423,text,163102,application/pdf,Engrossed,https://legiscan.com/US/text/HB5/id/2761423,https://www.congress.gov/118/bills/hr5/BILLS-118hr5eh.pdf
1650899,2633400,text,249914,application/pdf,Introduced,https://legiscan.com/US/text/HB7/id/2633400,https://www.congress.gov/118/bills/hr7/BILLS-118hr7ih.pdf
1774719,2838758,text,1258619,application/pdf,Introduced,https://legiscan.com/US/text/HB11/id/2838758,https://www.congress.gov/118/bills/hr11/BILLS-118hr11ih.pdf
1751465,2767508,text,283812,application/pdf,Introduced,https://legiscan.com/US/text/HB12/id/2767508,https://www.congress.gov/118/bills/hr12/BILLS-118hr12ih.pdf
1778278,2843209,text,352456,application/pdf,Introduced,https://legiscan.com/US/text/HB14/id/2843209,https://www.congress.gov/118/bills/hr14/BILLS-118hr14ih.pdf
1772665,2829733,text,279924,application/pdf,Introduced,https://legiscan.com/US/text/HB15/id/2829733,https://www.congress.gov/118/bills/hr15/BILLS-118hr15ih.pdf
1772147,2828333,text,314441,application/pdf,Introduced,https://legiscan.com/US/text/HB16/id/2828333,https://www.congress.gov/118/bills/hr16/BILLS-118hr16ih.pdf
1737371,2742106,text,276180,application/pdf,Introduced,https://legiscan.com/US/text/HB17/id/2742106,https://www.congress.gov/118/bills/hr17/BILLS-118hr17ih.pdf
1723254,2726063,text,318721,application/pdf,Introduced,https://legiscan.com/US/text/HB20/id/2726063,https://www.congress.gov/118/bills/hr20/BILLS-118hr20ih.pdf
1650920,2630778,text,231743,application/pdf,Introduced,https://legiscan.com/US/text/HB21/id/2630778,https://www.congress.gov/118/bills/hr21/BILLS-118hr21ih.pdf
1650920,2671159,text,116397,application/pdf,Engrossed,https://legiscan.com/US/text/HB21/id/2671159,https://www.congress.gov/118/bills/hr21/BILLS-118hr21eh.pdf
1650862,2630735,text,231646,application/pdf,Introduced,https://legiscan.com/US/text/HB22/id/2630735,https://www.congress.gov/118/bills/hr22/BILLS-118hr22ih.pdf
1650862,2667604,text,194283,application/pdf,Introduced,https://legiscan.com/US/text/HB22/id/2667604,https://www.congress.gov/118/bills/hr22/BILLS-118hr22pcs.pdf
1650862,2639768,text,103028,application/pdf,Engrossed,https://legiscan.com/US/text/HB22/id/2639768,https://www.congress.gov/118/bills/hr22/BILLS-118hr22eh.pdf
1651107,2668284,text,194088,application/pdf,Introduced,https://legiscan.com/US/text/HB23/id/2668284,https://www.congress.gov/118/bills/hr23/BILLS-118hr23pcs.pdf
1651107,2633539,text,103693,application/pdf,Engrossed,https://legiscan.com/US/text/HB23/id/2633539,https://www.congress.gov/118/bills/hr23/BILLS-118hr23eh.pdf
1651001,2633892,text,234495,application/pdf,Introduced,https://legiscan.com/US/text/HB24/id/2633892,https://www.congress.gov/118/bills/hr24/BILLS-118hr24ih.pdf
1651188,2637423,text,446433,application/pdf,Introduced,https://legiscan.com/US/text/HB25/id/2637423,https://www.congress.gov/118/bills/hr25/BILLS-118hr25ih.pdf
1650565,2630543,text,243381,application/pdf,Introduced,https://legiscan.com/US/text/HB26/id/2630543,https://www.congress.gov/118/bills/hr26/BILLS-118hr26ih.pdf
1650565,2673905,text,202381,application/pdf,Introduced,https://legiscan.com/US/text/HB26/id/2673905,https://www.congress.gov/118/bills/hr26/BILLS-118hr26pcs.pdf
1650565,2639943,text,116118,application/pdf,Engrossed,https://legiscan.com/US/text/HB26/id/2639943,https://www.congress.gov/118/bills/hr26/BILLS-118hr26eh.pdf
1650511,2630506,text,235047,application/pdf,Introduced,https://legiscan.com/US/text/HB27/id/2630506,https://www.congress.gov/118/bills/hr27/BILLS-118hr27ih.pdf
1651115,2637277,text,232129,application/pdf,Introduced,https://legiscan.com/US/text/HB28/id/2637277,https://www.congress.gov/118/bills/hr28/BILLS-118hr28ih.pdf
1650533,2637414,text,233316,application/pdf,Introduced,https://legiscan.com/US/text/HB29/id/2637414,https://www.congress.gov/118/bills/hr29/BILLS-118hr29ih.pdf
1650883,2637410,text,231268,application/pdf,Introduced,https://legiscan.com/US/text/HB30/id/2637410,https://www.congress.gov/118/bills/hr30/BILLS-118hr30ih.pdf
1650734,2637411,text,252715,application/pdf,Introduced,https://legiscan.com/US/text/HB31/id/2637411,https://www.congress.gov/118/bills/hr31/BILLS-118hr31ih.pdf
1651092,2638245,text,231863,application/pdf,Introduced,https://legiscan.com/US/text/HB32/id/2638245,https://www.congress.gov/118/bills/hr32/BILLS-118hr32ih.pdf
1650880,2638047,text,269801,application/pdf,Introduced,https://legiscan.com/US/text/HB33/id/2638047,https://www.congress.gov/118/bills/hr33/BILLS-118hr33ih.pdf
1650845,2638125,text,239475,application/pdf,Introduced,https://legiscan.com/US/text/HB34/id/2638125,https://www.congress.gov/118/bills/hr34/BILLS-118hr34ih.pdf
1650498,2639884,text,250514,application/pdf,Introduced,https://legiscan.com/US/text/HB35/id/2639884,https://www.congress.gov/118/bills/hr35/BILLS-118hr35ih.pdf
1650981,2639965,text,231904,application/pdf,Introduced,https://legiscan.com/US/text/HB36/id/2639965,https://www.congress.gov/118/bills/hr36/BILLS-118hr36ih.pdf
1651035,2639963,text,230133,application/pdf,Introduced,https://legiscan.com/US/text/HB37/id/2639963,https://www.congress.gov/118/bills/hr37/BILLS-118hr37ih.pdf
1650971,2639899,text,239696,application/pdf,Introduced,https://legiscan.com/US/text/HB38/id/2639899,https://www.congress.gov/118/bills/hr38/BILLS-118hr38ih.pdf
