people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
8955,"Nydia Velazquez",Nydia,M.,Velazquez,,,1,D,1,Rep,HD-NY-7,17658223,26975,N00001102,Nydia_Velazquez,158981,0
8957,"Frank Pallone",Frank,,Pallone,Jr.,,1,D,1,Rep,HD-NJ-6,17658803,26951,N00000781,Frank_Pallone,158957,0
8963,"Kathy Castor",Kathy,,Castor,,,1,D,1,Rep,HD-FL-14,170335,53825,N00027514,Kathy_Castor,248289,0
8964,"Gerald Connolly",Gerald,E.,Connolly,,Gerry,1,D,1,Rep,HD-VA-11,16577898,95078,N00029891,Gerald_Connolly,267105,0
8965,"Henry Cuellar",Henry,,Cuellar,,,1,D,1,Rep,HD-TX-28,6443275,5486,N00024978,Henry_Cuellar,199164,0
8967,"Diana DeGette",Diana,,DeGette,,,1,D,1,Rep,HD-CO-1,6006202,561,N00006134,Diana_DeGette,158770,0
8971,"Anna Eshoo",Anna,G.,Eshoo,,,1,D,1,Rep,HD-CA-16,8050793,26741,N00007335,Anna_Eshoo,158731,0
8972,"Bill Foster",Bill,,Foster,,,1,D,1,Rep,HD-IL-11,16623751,101632,N00029139,Bill_Foster,263138,0
8976,"Henry Johnson",Henry,C.,Johnson,Jr.,Hank,1,D,1,Rep,HD-GA-4,17658662,68070,N00027848,Hank_Johnson,248293,0
8979,"Ben Lujan",Ben,Ray,Lujan,,,1,D,2,Sen,SD-NM,9025644,102842,N00029562,"Ben_Lujan,_Sr.",266495,0
8981,"Edward Markey",Edward,J.,Markey,,,1,D,2,Sen,SD-MA,17658675,26900,N00000270,Edward_Markey,158881,0
8983,"Doris Matsui",Doris,O.,Matsui,,,1,D,1,Rep,HD-CA-7,17658638,28593,N00027459,Doris_Matsui,232639,0
8986,"Christopher Murphy",Christopher,S.,Murphy,,,1,D,2,Sen,SD-CT,6384200,17189,N00027566,Chris_Murphy_(Connecticut),193324,0
8987,"Bill Pascrell",Bill,,Pascrell,Jr.,,1,D,1,Rep,HD-NJ-9,16580040,478,N00000751,Bill_Pascrell,158959,0
8988,"Janice Schakowsky",Janice,D.,Schakowsky,,,1,D,1,Rep,HD-IL-9,6419995,6387,N00004724,Jan_Schakowsky,158836,0
8989,"Brad Sherman",Brad,,Sherman,,,1,D,1,Rep,HD-CA-32,369166,142,N00006897,Brad_Sherman,158741,0
8995,"Debbie Wasserman Schultz",Debbie,,"Wasserman Schultz",,,1,D,1,Rep,HD-FL-25,704716,24301,N00026106,Debbie_Wasserman_Schultz,226499,0
8997,"Peter Welch",Peter,,Welch,,,1,D,1,Rep,HD-VT,9959484,51272,N00000515,Peter_Welch,210068,0
9004,"Tammy Baldwin",Tammy,,Baldwin,,,1,D,2,Sen,SD-WI,2924660,3470,N00004367,Tammy_Baldwin,159127,0
9010,"Earl Blumenauer",Earl,,Blumenauer,,,1,D,1,Rep,HD-OR-3,4977792,367,N00007727,Earl_Blumenauer,159028,0
9019,"Andre Carson",Andre,,Carson,,,1,D,1,Rep,HD-IN-7,17658782,84917,N00029513,Andr%C3%A9_Carson,263260,0
9021,"Yvette Clarke",Yvette,D.,Clarke,,,1,D,1,Rep,HD-NY-9,5418023,44741,N00026961,Yvette_Clarke,248335,0
9023,"Emanuel Cleaver",Emanuel,,Cleaver,,,1,D,1,Rep,HD-MO-5,4396432,39507,N00026790,Emanuel_Cleaver,226522,0
9024,"James Clyburn",James,E.,Clyburn,,,1,D,1,Rep,HD-SC-6,5019671,27066,N00002408,James_Clyburn,159060,0
9025,"Steve Cohen",Steve,,Cohen,,,1,D,1,Rep,HD-TN-9,6442808,24340,N00003225,"Steve_Hobbs,_Missouri_Representative",198993,0
9029,"Joe Courtney",Joe,,Courtney,,,1,D,1,Rep,HD-CT-2,7236851,30333,N00024842,Joe_Courtney,248833,0
9032,"Danny Davis",Danny,K.,Davis,,,1,D,1,Rep,HD-IL-7,16565454,233,N00004884,Danny_K._Davis,158834,0
9035,"Rosa DeLauro",Rosa,L.,DeLauro,,,1,D,1,Rep,HD-CT-3,5349073,26788,N00000615,Rosa_DeLauro,158778,0
