bill_id,people_id,position
1642307,9414,1
1642332,9414,1
1642361,9414,1
1642389,9414,1
1642421,9414,1
1642453,9414,1
1642480,9414,1
1642512,9414,1
1642541,9414,1
1650479,18291,1
1650482,21946,1
1650485,11054,2
1650485,18291,1
1650487,11049,5
1650487,16447,4
1650487,18291,1
1650487,18305,2
1650487,21952,3
1650489,20110,1
1650492,9200,75
1650492,9209,102
1650492,9294,98
1650492,9337,32
1650492,11049,11
1650492,11606,69
1650492,14026,20
1650492,14084,66
1650492,14906,25
1650492,15243,101
1650492,16447,71
1650492,16453,8
1650492,16472,60
1650492,16483,42
1650492,16490,37
1650492,17717,43
1650492,17958,10
1650492,17980,38
1650492,18286,3
1650492,18287,51
1650492,18288,4
1650492,18291,5
1650492,18303,12
1650492,18305,14
1650492,18313,54
1650492,18321,21
1650492,18335,86
1650492,19407,1
1650492,19646,39
1650492,19664,33
1650492,19692,16
1650492,20044,28
1650492,20065,77
1650492,20067,2
1650492,20076,30
1650492,20096,57
1650492,20100,40
1650492,20110,92
1650492,20114,34
1650492,21385,6
1650492,21386,90
1650492,21646,67
1650492,21647,83
1650492,21922,23
1650492,21924,106
1650492,21926,105
1650492,21927,103
1650492,21928,44
1650492,21929,70
1650492,21930,68
1650492,21935,84
1650492,21938,80
1650492,21941,41
1650492,21944,53
1650492,21945,17
1650492,21946,19
1650492,21950,45
1650492,21952,79
1650492,21959,61
1650492,21961,56
1650492,21963,97
1650492,21965,18
1650492,21966,93
1650492,21968,104
1650492,21969,96
1650492,21970,24
1650492,21975,15
1650492,22915,100
1650492,22947,81
1650492,23161,78
1650492,23997,46
1650492,23998,47
1650492,24000,9
1650492,24001,7
1650492,24003,63
1650492,24006,52
1650492,24007,65
1650492,24009,88
1650492,24012,94
1650492,24013,73
1650492,24014,82
1650492,24015,55
1650492,24016,85
1650492,24019,13
1650492,24022,87
1650492,24023,58
1650492,24025,91
1650492,24035,50
1650492,24036,48
1650492,24037,29
1650492,24038,49
1650492,24039,89
1650492,24040,72
1650492,24042,62
1650492,24043,22
1650492,24045,74
1650492,24047,59
1650492,24048,99
1650492,24050,35
1650492,24053,36
1650492,24055,95
1650492,24058,64
1650492,24060,31
1650492,24062,26
1650492,24063,76
1650492,24069,27
1650495,21952,1
1650498,8976,41
1650498,8988,27
1650498,8989,28
1650498,9010,3
1650498,9023,9
1650498,9025,10
1650498,9035,11
1650498,9037,1
1650498,9051,16
1650498,9068,47
1650498,9070,19
1650498,9078,21
1650498,9099,23
1650498,9100,24
1650498,9138,30
1650498,9140,31
1650498,9151,2
1650498,9167,32
1650498,9233,36
1650498,9234,8
1650498,9360,14
1650498,11201,39
1650498,11807,37
1650498,14071,50
1650498,14884,5
1650498,15239,29
1650498,15241,48
1650498,16485,34
1650498,16502,12
1650498,17981,13
1650498,18301,55
1650498,18312,18
1650498,18314,20
1650498,18316,38
1650498,19700,43
1650498,20046,7
1650498,20059,42
1650498,20061,15
1650498,20062,45
1650498,20069,17
1650498,20078,44
1650498,20088,53
1650498,20089,25
1650498,20094,54
1650498,20095,26
1650498,20117,33
1650498,21642,22
1650498,21936,35
1650498,21958,4
1650498,23048,40
1650498,24004,52
1650498,24005,6
1650498,24024,51
1650498,24057,46
1650498,24064,49
1650501,11054,5
1650501,11605,7
1650501,14906,2
1650501,18291,1
1650501,20047,4
1650501,21647,6
1650501,21927,8
1650501,21941,3
1650501,24000,10
1650501,24055,9
1650503,9197,49
1650503,9200,17
1650503,9254,47
1650503,11049,37
1650503,11054,30
1650503,11059,16
1650503,11605,25
1650503,14922,35
1650503,14924,50
1650503,16449,6
1650503,16452,45
1650503,16454,23
1650503,16476,32
1650503,16483,8
1650503,16490,26
1650503,18291,41
1650503,18305,12
1650503,18330,46
1650503,18335,20
1650503,20042,34
1650503,20049,19
1650503,20064,5
1650503,20083,39
1650503,20110,33
1650503,20120,31
1650503,21386,48
1650503,21921,7
1650503,21928,36
1650503,21930,44
1650503,21935,27
1650503,21941,4
1650503,21946,42
1650503,21963,11
1650503,21967,1
1650503,21969,40
1650503,21970,3
1650503,21972,15
1650503,21975,13
1650503,22947,18
1650503,23998,28
1650503,24003,43
1650503,24012,29
1650503,24026,10
1650503,24039,24
1650503,24042,2
1650503,24043,38
1650503,24050,21
1650503,24058,22
1650503,24060,14
1650503,24062,9
1650506,9175,1
1650506,15227,2
1650506,21931,3
1650509,11054,2
1650509,18291,1
1650511,9182,31
1650511,9197,24
1650511,9211,12
1650511,9217,18
1650511,9237,22
1650511,9279,10
1650511,11054,28
1650511,11145,16
1650511,14922,27
1650511,15051,23
1650511,16473,5
1650511,16477,3
1650511,17717,21
1650511,18313,6
1650511,19646,13
1650511,20049,9
1650511,20076,14
1650511,20096,2
1650511,20108,11
1650511,21647,8
1650511,21928,17
1650511,21931,29
1650511,21935,19
1650511,21944,15
1650511,21961,1
1650511,21972,4
1650511,21977,7
1650511,22947,25
1650511,24016,33
1650511,24031,32
1650511,24036,30
1650511,24069,26
1650511,24071,20
1650513,9070,2
1650513,18304,1
1650517,11049,7
1650517,14922,9
1650517,16453,10
1650517,18291,2
1650517,19646,12
1650517,21922,8
1650517,21927,11
1650517,21934,6
1650517,21941,4
1650517,21969,1
1650517,21970,3
1650517,21975,5
1650520,9200,25
1650520,9329,31
1650520,9337,34
1650520,9346,2
1650520,11049,1
1650520,11054,13
1650520,11099,35
1650520,11137,18
1650520,11605,15
1650520,14906,29
1650520,14922,33
1650520,15228,19
1650520,16452,38
1650520,16453,5
1650520,16471,37
1650520,16472,23
1650520,17958,10
1650520,18305,11
1650520,18321,21
1650520,19407,24
1650520,19664,8
1650520,19692,17
1650520,20047,7
1650520,20049,9
1650520,20066,14
1650520,20096,26
1650520,20100,28
1650520,20108,30
1650520,20114,32
1650520,21385,3
1650520,21927,36
1650520,21928,6
1650520,21941,22
1650520,21945,20
1650520,21952,27
1650520,21966,16
1650520,21975,12
1650520,24001,4
1650522,18291,1
1650522,19646,2
1650524,18291,1
1650528,21946,1
1650530,11054,2
1650530,18291,1
1650530,21965,4
1650530,21975,3
1650533,9176,57
1650533,9197,52
1650533,9200,55
1650533,9217,4
1650533,9274,58
1650533,9279,49
1650533,9368,62
1650533,11049,8
1650533,11605,3
1650533,14084,21
1650533,14906,9
1650533,14922,60
1650533,14924,64
1650533,16449,24
1650533,16454,28
1650533,16460,13
1650533,16477,18
1650533,16483,44
1650533,16503,22
1650533,17704,70
1650533,17717,67
1650533,18286,54
1650533,18291,2
1650533,18305,11
1650533,18310,7
1650533,18313,61
1650533,18321,32
1650533,19407,35
1650533,19646,30
1650533,19664,48
1650533,19676,40
1650533,19692,43
1650533,20047,12
1650533,20049,14
1650533,20060,16
1650533,20064,25
1650533,20065,45
1650533,20076,42
1650533,20096,6
1650533,20098,41
1650533,20100,1
1650533,20108,23
1650533,20110,53
1650533,20120,26
1650533,21385,5
1650533,21647,39
1650533,21921,51
1650533,21927,33
1650533,21928,59
1650533,21929,63
1650533,21935,27
1650533,21939,15
1650533,21941,20
1650533,21952,36
1650533,21965,74
1650533,21966,10
1650533,21969,29
1650533,21972,34
1650533,21975,37
1650533,21977,19
1650533,22947,17
1650533,22967,66
1650533,23161,68
1650533,24001,56
1650533,24003,72
1650533,24006,71
1650533,24012,69
1650533,24025,50
1650533,24026,46
1650533,24035,38
1650533,24042,47
1650533,24045,65
1650533,24055,31
1650533,24062,73
1650538,21946,1
1650540,11049,1
1650540,18291,2
1650540,21385,3
1650543,11049,5
1650543,11054,15
1650543,11059,12
1650543,11137,11
1650543,16447,4
1650543,16453,14
1650543,18291,1
1650543,18305,2
1650543,19646,9
1650543,20064,13
1650543,20076,10
1650543,20121,6
1650543,21922,16
1650543,21934,8
1650543,21939,7
1650543,21941,3
1650543,21952,17
1650547,9068,1
1650547,24004,2
1650549,21970,1
1650553,9213,1
1650556,9337,2
1650556,20088,3
1650556,21952,1
1650556,24010,4
1650559,18291,1
1650562,18291,1
1650565,9157,43
1650565,9175,53
1650565,9176,94
1650565,9182,164
1650565,9193,160
1650565,9197,61
1650565,9200,24
1650565,9209,102
1650565,9211,129
1650565,9213,17
1650565,9216,84
1650565,9217,25
1650565,9220,16
1650565,9222,123
1650565,9237,75
1650565,9269,128
1650565,9273,138
1650565,9274,50
1650565,9279,110
1650565,9294,126
1650565,9295,112
1650565,9324,60
1650565,9329,22
1650565,9333,149
1650565,9337,130
1650565,9346,20
1650565,9372,144
1650565,9384,2
1650565,9389,18
1650565,11042,56
1650565,11049,21
1650565,11058,88
1650565,11059,81
1650565,11077,116
1650565,11099,95
1650565,11129,58
1650565,11137,107
1650565,11145,69
1650565,11164,80
1650565,11605,124
1650565,11606,114
1650565,13318,125
1650565,14084,46
1650565,14906,90
1650565,14922,105
1650565,14923,48
1650565,14924,134
1650565,15051,49
1650565,15224,119
1650565,15240,115
1650565,15243,1
1650565,16037,85
1650565,16447,59
1650565,16449,109
1650565,16452,26
1650565,16453,44
