Legislation Number,URL,Title,Sponsor,Date of Introduction,Committees,Latest Action,Number of Cosponsors
H.R. 8515,https://www.congress.gov/bill/118th-congress/house-bill/8515,"To promote and recruit the United States maritime industry workforce, and for other purposes.","Waltz, Michael [Rep.-R-FL-6]",5/22/2024,"House - Armed Services, Science, Space, and Technology, Transportation and Infrastructure","Referred to the Committee on Armed Services, and in addition to the Committees on Science, Space, and Technology, and Transportation and Infrastructure, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",0
H.R. 8514,https://www.congress.gov/bill/118th-congress/house-bill/8514,"To amend title 38, United States Code, to provide for an annual increase in stipend for books, supplies, equipment, and other educational costs under Post-9/11 Educational Assistance Program of Department of Veterans Affairs.","Vasquez, Gabe [Rep.-D-NM-2]",5/22/2024,House - Veterans' Affairs,Referred to the House Committee on Veterans' Affairs.,0
H.R. 8513,https://www.congress.gov/bill/118th-congress/house-bill/8513,"To direct the Secretary of Agriculture to carry out a demonstration project to allow Tribal entities to purchase agricultural commodities under the commodity supplemental food program, and for other purposes.","Vasquez, Gabe [Rep.-D-NM-2]",5/22/2024,House - Agriculture,Referred to the House Committee on Agriculture.,0
H.R. 8512,https://www.congress.gov/bill/118th-congress/house-bill/8512,"To authorize appropriations for fiscal year 2025 for intelligence and intelligence-related activities of the United States Government, the Community Management Account, and the Central Intelligence Agency Retirement and Disability System, and for other purposes.","Turner, Michael R. [Rep.-R-OH-10]",5/22/2024,House - Intelligence (Permanent Select),Referred to the House Committee on Intelligence (Permanent Select).,0
H.R. 8511,https://www.congress.gov/bill/118th-congress/house-bill/8511,To direct the Secretary of Defense to submit to Congress a report on transitioning military acquired credentials to the civilian workforce.,"Torres, Norma J. [Rep.-D-CA-35]",5/22/2024,"House - Armed Services, Veterans' Affairs","Referred to the Committee on Armed Services, and in addition to the Committee on Veterans' Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",0
H.R. 8510,https://www.congress.gov/bill/118th-congress/house-bill/8510,"To amend the Food Security Act of 1985 to encourage the use of native vegetation, and for other purposes.","Tokuda, Jill N. [Rep.-D-HI-2]",5/22/2024,House - Agriculture,Referred to the House Committee on Agriculture.,0
H.R. 8509,https://www.congress.gov/bill/118th-congress/house-bill/8509,"To reform pattern or practice investigations conducted by the Department of Justice, and for other purposes.","Strickland, Marilyn [Rep.-D-WA-10]",5/22/2024,House - Judiciary,Referred to the House Committee on the Judiciary.,2
H.R. 8508,https://www.congress.gov/bill/118th-congress/house-bill/8508,To amend the Magnuson-Stevens Fishery Conservation and Management Act to reauthorize the bycatch reduction engineering program and establish the Bycatch Mitigation Assistance Fund.,"Peltola, Mary Sattler [Rep.-D-AK-At Large]",5/22/2024,House - Natural Resources,Referred to the House Committee on Natural Resources.,2
H.R. 8507,https://www.congress.gov/bill/118th-congress/house-bill/8507,To provide for the designation of areas within which fishing activities carried out using bottom trawls may be carried out.,"Peltola, Mary Sattler [Rep.-D-AK-At Large]",5/22/2024,House - Natural Resources,Referred to the House Committee on Natural Resources.,0
H.R. 8506,https://www.congress.gov/bill/118th-congress/house-bill/8506,To amend the Internal Revenue Code of 1986 to encourage domestic insourcing and discourage foreign outsourcing.,"Pascrell, Bill [Rep.-D-NJ-9]",5/22/2024,House - Ways and Means,Referred to the House Committee on Ways and Means.,2
H.R. 8505,https://www.congress.gov/bill/118th-congress/house-bill/8505,"To amend title 49, United States Code, to expand the authority of the Administrator of the Federal Motor Carrier Safety Administration to assess penalties for violations of laws and regulations relating to the shipping of household goods, and for other purposes.","Norton, Eleanor Holmes [Del.-D-DC-At Large]",5/22/2024,House - Transportation and Infrastructure,Referred to the House Committee on Transportation and Infrastructure.,1
H.R. 8504,https://www.congress.gov/bill/118th-congress/house-bill/8504,To amend the Internal Revenue Code of 1986 to establish the critical supply chains reshoring investment tax credit.,"Malliotakis, Nicole [Rep.-R-NY-11]",5/22/2024,House - Ways and Means,Referred to the House Committee on Ways and Means.,6
H.R. 8503,https://www.congress.gov/bill/118th-congress/house-bill/8503,"To provide States with support to establish integrated care programs for individuals who are dually eligible for Medicare and Medicaid, and for other purposes.","Kelly, Mike [Rep.-R-PA-16]",5/22/2024,"House - Energy and Commerce, Ways and Means","Referred to the Committee on Energy and Commerce, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",1
